338	4	4	2	.	4
339	.	3	2	.	.
340	3	2	5	.	3
341	5	5	3	.	1
342	3	2	3	.	4
343	1	3	4	.	3
344	1	3	4	.	4
345	4	3	3	.	3
346	5	5	1	.	3
347	3	4	5	.	2
348	2	1	5	.	4
349	3	3	3	.	1
350	4	4	4	.	1
351	4	5	4	.	1
352	5	5	5	.	1
353	3	3	5	.	.
354	2	5	1	.	2
355	5	3	3	.	1
356	3	4	5	.	1
357	5	5	2	.	1
358	4	4	4	.	3
359	1	1	4	.	4
360	3	3	3	.	4
361	3	4	5	.	4
362	3	4	4	.	4
363	.	3	3	.	3
364	3	3	5	.	4
365	1	1	3	.	4
366	3	4	5	.	4
367	.	3	4	.	3
368	5	3	3	.	3
369	1	3	3	.	2
370	3	5	4	.	1
371	3	4	3	.	1
372	5	5	3	.	4
373	4	4	3	.	3
374	2	3	3	.	3
375	2	2	4	.	3
376	4	4	3	.	2
377	4	4	3	.	1
378	5	5	4	.	1
379	5	5	3	.	4
380	5	5	3	.	4
381	4	5	4	.	2
382	.	4	3	.	4
383	3	2	4	.	3
384	5	4	3	.	3
385	2	3	4	.	3
386	4	4	4	.	1
387	3	3	4	.	4
388	.	4	3	.	4
389	5	4	3	.	1
390	4	4	5	.	2
391	5	3	4	.	2
392	2	2	3	.	1
393	.	4	4	.	4
394	3	4	4	.	1
395	5	5	4	.	1
396	4	4	3	.	2
397	5	4	2	.	3
398	3	4	4	.	3
399	5	5	4	.	.
400	3	4	3	.	4
401	4	1	4	.	3
402	5	5	3	.	1
403	.	.	5	.	4
404	2	3	5	.	4
405	1	1	5	.	4
406	5	3	4	.	3
407	4	3	4	.	4
408	4	4	4	.	3
409	3	3	5	.	1
410	1	3	3	.	2
411	5	5	5	.	1
412	3	3	3	.	2
413	.	5	3	.	2
414	2	4	4	.	1
415	3	3	4	.	2
416	3	5	3	.	3
417	2	2	5	.	2
418	3	3	4	.	1
419	5	.	3	.	.
420	3	4	3	.	1
421	3	3	4	.	4
422	3	4	5	.	.
423	3	3	5	.	1
424	5	5	1	.	4
425	3	3	5	.	4
426	.	3	5	.	4
427	3	3	4	.	4
428	1	4	5	.	1
429	3	4	4	.	1
430	2	3	3	.	4
431	5	5	1	.	4
432	3	3	4	.	4
433	.	.	5	.	4
434	1	3	4	.	3
435	3	4	3	.	1
436	4	3	4	.	4
437	4	4	3	.	4
438	3	5	3	.	3
439	5	5	3	.	1
440	1	2	5	.	4
441	.	.	4	.	4
442	1	.	4	.	3
443	.	.	3	.	3
444	.	5	3	.	1
445	3	4	5	.	2
446	1	3	5	.	2
447	5	4	3	.	1
448	1	3	5	.	4
449	4	4	3	.	2
450	4	4	3	.	1
451	.	3	5	.	1
452	4	4	4	.	4
453	5	5	2	.	3
454	4	5	4	.	1
455	3	3	5	.	3
456	2	3	3	.	4
457	3	2	4	.	3
458	1	2	4	.	3
459	2	3	5	.	1
460	4	2	5	.	1
461	.	4	5	.	4
462	1	1	5	.	4
463	5	5	2	.	.
464	3	5	3	.	4
465	5	4	2	.	3
466	3	3	3	.	3
467	5	5	2	.	4
468	3	1	5	.	4
469	3	3	3	.	4
470	5	5	1	.	1
471	3	3	5	.	.
472	1	1	5	.	4
473	1	3	3	.	4
474	4	3	3	.	1
475	5	3	5	.	3
476	4	2	2	.	.
477	5	4	5	.	1
478	4	4	4	.	1
479	1	1	4	.	1
480	3	3	4	.	3
481	5	5	3	.	4
482	5	5	5	.	1
483	3	4	4	.	4
484	4	4	3	.	4
485	1	2	4	.	1
486	5	2	5	.	3
487	3	3	5	.	2
488	5	2	5	.	1
489	3	.	4	.	1
490	1	1	3	.	1
491	2	2	5	.	1
492	2	.	4	.	2
493	3	3	3	.	2
494	1	3	5	.	4
495	2	3	4	.	4
496	4	4	3	.	4
497	2	1	4	.	3
498	4	4	3	.	1
499	1	4	4	.	.
500	4	3	4	.	4
501	2	2	5	.	3
502	2	4	3	.	1
503	3	4	2	.	1
504	.	4	2	.	3
505	.	3	4	.	2
506	4	.	4	.	4
507	3	2	4	.	4
508	1	5	1	.	3
509	3	3	4	.	3
510	2	2	4	.	3
511	3	4	3	.	1
512	4	4	4	.	4
513	5	4	4	.	3
514	1	3	4	.	4
515	2	4	4	.	3
516	5	5	4	.	4
517	5	5	.	.	4
518	4	3	4	.	4
519	1	3	5	.	3
520	3	3	2	.	4
521	5	5	5	.	1
522	5	2	3	.	.
523	5	4	5	.	4
524	5	2	2	.	2
525	4	4	4	.	1
526	5	5	3	.	.
527	4	2	2	.	4
528	5	5	5	.	1
529	3	.	4	.	4
530	4	4	5	.	2
531	2	3	4	.	3
532	4	3	5	.	.
533	5	5	1	.	1
534	5	1	1	.	1
535	4	4	3	.	4
536	2	3	2	.	1
537	3	3	2	.	3
538	.	2	3	.	1
539	5	4	4	.	4
540	3	5	1	.	4
541	3	4	5	.	1
542	4	3	5	.	1
543	4	4	4	.	1
544	1	1	5	.	1
545	5	4	4	.	4
546	2	3	3	.	3
547	3	4	3	.	4
548	1	1	5	.	4
549	4	3	3	.	4
550	2	3	1	.	2
551	5	3	1	.	.
552	1	3	5	.	4
553	1	3	4	.	2
554	5	5	1	.	4
555	3	3	3	.	4
556	4	5	3	.	1
557	4	4	5	.	4
558	5	5	1	.	1
559	4	5	3	.	1
560	3	3	3	.	4
561	3	3	5	.	1
